timestamp_epoch,seq,byte_hex,byte_bin_msb,byte_bin_lsb_temporal,uart_frame_reconstruido
1776099419.546288,1,00,00000000,00000000,0 00000000 1
1776099419.546620,2,18,00011000,00011000,0 00011000 1
1776099419.547781,3,E0,11100000,00000111,0 00000111 1
1776099419.548008,4,18,00011000,00011000,0 00011000 1
1776099419.548103,5,E0,11100000,00000111,0 00000111 1
1776099419.548165,6,98,10011000,00011001,0 00011001 1
1776099419.548218,7,E0,11100000,00000111,0 00000111 1
1776099419.548255,8,98,10011000,00011001,0 00011001 1
1776099419.548303,9,E0,11100000,00000111,0 00000111 1
1776099419.548366,10,18,00011000,00011000,0 00011000 1
1776099419.548412,11,E0,11100000,00000111,0 00000111 1
1776099419.548452,12,18,00011000,00011000,0 00011000 1
1776099419.548491,13,E0,11100000,00000111,0 00000111 1
1776099419.548526,14,18,00011000,00011000,0 00011000 1
1776099419.548558,15,E0,11100000,00000111,0 00000111 1
1776099419.548597,16,98,10011000,00011001,0 00011001 1
1776099419.553938,17,1E,00011110,01111000,0 01111000 1
1776099419.554093,18,18,00011000,00011000,0 00011000 1
1776099419.554152,19,06,00000110,01100000,0 01100000 1
1776099419.554197,20,FE,11111110,01111111,0 01111111 1
1776099429.572923,21,00,00000000,00000000,0 00000000 1
1776099429.573036,22,18,00011000,00011000,0 00011000 1
1776099429.573070,23,E0,11100000,00000111,0 00000111 1
1776099429.573099,24,18,00011000,00011000,0 00011000 1
1776099429.573127,25,E0,11100000,00000111,0 00000111 1
1776099429.573155,26,98,10011000,00011001,0 00011001 1
1776099429.573184,27,E0,11100000,00000111,0 00000111 1
1776099429.573212,28,98,10011000,00011001,0 00011001 1
1776099429.573239,29,E0,11100000,00000111,0 00000111 1
1776099429.573267,30,18,00011000,00011000,0 00011000 1
1776099429.573294,31,E0,11100000,00000111,0 00000111 1
1776099429.573322,32,18,00011000,00011000,0 00011000 1
1776099429.573349,33,E0,11100000,00000111,0 00000111 1
1776099429.573376,34,18,00011000,00011000,0 00011000 1
1776099429.573403,35,E0,11100000,00000111,0 00000111 1
1776099429.573431,36,98,10011000,00011001,0 00011001 1
1776099429.580587,37,1E,00011110,01111000,0 01111000 1
1776099429.580806,38,18,00011000,00011000,0 00011000 1
1776099429.580924,39,06,00000110,01100000,0 01100000 1
1776099429.581013,40,FE,11111110,01111111,0 01111111 1
1776099439.599730,41,00,00000000,00000000,0 00000000 1
1776099439.599935,42,18,00011000,00011000,0 00011000 1
1776099439.600147,43,E0,11100000,00000111,0 00000111 1
1776099439.600263,44,18,00011000,00011000,0 00011000 1
1776099439.600342,45,E0,11100000,00000111,0 00000111 1
1776099439.600394,46,98,10011000,00011001,0 00011001 1
1776099439.600436,47,E0,11100000,00000111,0 00000111 1
1776099439.600478,48,98,10011000,00011001,0 00011001 1
1776099439.600523,49,E0,11100000,00000111,0 00000111 1
1776099439.600565,50,18,00011000,00011000,0 00011000 1
1776099439.600607,51,E0,11100000,00000111,0 00000111 1
1776099439.600654,52,18,00011000,00011000,0 00011000 1
1776099439.600710,53,E0,11100000,00000111,0 00000111 1
1776099439.600807,54,18,00011000,00011000,0 00011000 1
1776099439.600909,55,E0,11100000,00000111,0 00000111 1
1776099439.601008,56,98,10011000,00011001,0 00011001 1
1776099439.607373,57,1E,00011110,01111000,0 01111000 1
1776099439.607495,58,18,00011000,00011000,0 00011000 1
1776099439.607559,59,06,00000110,01100000,0 01100000 1
1776099439.607609,60,FE,11111110,01111111,0 01111111 1
1776099449.625181,61,00,00000000,00000000,0 00000000 1
1776099449.625375,62,18,00011000,00011000,0 00011000 1
1776099449.625480,63,E0,11100000,00000111,0 00000111 1
1776099449.625586,64,18,00011000,00011000,0 00011000 1
1776099449.625659,65,E0,11100000,00000111,0 00000111 1
1776099449.625717,66,98,10011000,00011001,0 00011001 1
1776099449.625763,67,E0,11100000,00000111,0 00000111 1
1776099449.625804,68,98,10011000,00011001,0 00011001 1
1776099449.625850,69,E0,11100000,00000111,0 00000111 1
1776099449.625897,70,18,00011000,00011000,0 00011000 1
1776099449.625941,71,E0,11100000,00000111,0 00000111 1
1776099449.625989,72,18,00011000,00011000,0 00011000 1
1776099449.626040,73,E0,11100000,00000111,0 00000111 1
1776099449.626078,74,18,00011000,00011000,0 00011000 1
1776099449.626116,75,E0,11100000,00000111,0 00000111 1
1776099449.626153,76,98,10011000,00011001,0 00011001 1
1776099449.632833,77,1E,00011110,01111000,0 01111000 1
1776099449.632921,78,18,00011000,00011000,0 00011000 1
1776099449.632960,79,06,00000110,01100000,0 01100000 1
1776099449.632996,80,FE,11111110,01111111,0 01111111 1
1776099459.650861,81,00,00000000,00000000,0 00000000 1
1776099459.651000,82,18,00011000,00011000,0 00011000 1
1776099459.651036,83,E0,11100000,00000111,0 00000111 1
1776099459.651065,84,18,00011000,00011000,0 00011000 1
1776099459.651093,85,E0,11100000,00000111,0 00000111 1
1776099459.651121,86,98,10011000,00011001,0 00011001 1
1776099459.651148,87,E0,11100000,00000111,0 00000111 1
1776099459.651176,88,98,10011000,00011001,0 00011001 1
1776099459.651203,89,E0,11100000,00000111,0 00000111 1
1776099459.651230,90,18,00011000,00011000,0 00011000 1
1776099459.651257,91,E0,11100000,00000111,0 00000111 1
1776099459.651285,92,18,00011000,00011000,0 00011000 1
1776099459.651312,93,E0,11100000,00000111,0 00000111 1
1776099459.651339,94,18,00011000,00011000,0 00011000 1
1776099459.651366,95,E0,11100000,00000111,0 00000111 1
1776099459.651394,96,98,10011000,00011001,0 00011001 1
1776099459.658524,97,1E,00011110,01111000,0 01111000 1
1776099459.658675,98,18,00011000,00011000,0 00011000 1
1776099459.658770,99,06,00000110,01100000,0 01100000 1
1776099459.658838,100,FE,11111110,01111111,0 01111111 1
1776099469.677722,101,00,00000000,00000000,0 00000000 1
1776099469.677837,102,18,00011000,00011000,0 00011000 1
1776099469.677869,103,E0,11100000,00000111,0 00000111 1
1776099469.677898,104,18,00011000,00011000,0 00011000 1
1776099469.677926,105,E0,11100000,00000111,0 00000111 1
1776099469.677953,106,98,10011000,00011001,0 00011001 1
1776099469.677981,107,E0,11100000,00000111,0 00000111 1
1776099469.678009,108,98,10011000,00011001,0 00011001 1
1776099469.678036,109,E0,11100000,00000111,0 00000111 1
1776099469.678064,110,18,00011000,00011000,0 00011000 1
1776099469.678091,111,E0,11100000,00000111,0 00000111 1
1776099469.678118,112,18,00011000,00011000,0 00011000 1
1776099469.678146,113,E0,11100000,00000111,0 00000111 1
1776099469.678173,114,18,00011000,00011000,0 00011000 1
1776099469.678200,115,E0,11100000,00000111,0 00000111 1
1776099469.678228,116,98,10011000,00011001,0 00011001 1
1776099469.685410,117,1E,00011110,01111000,0 01111000 1
1776099469.685601,118,18,00011000,00011000,0 00011000 1
1776099469.685697,119,06,00000110,01100000,0 01100000 1
1776099469.685762,120,FE,11111110,01111111,0 01111111 1
1776099479.704356,121,00,00000000,00000000,0 00000000 1
1776099479.704465,122,18,00011000,00011000,0 00011000 1
1776099479.704499,123,E0,11100000,00000111,0 00000111 1
1776099479.704528,124,18,00011000,00011000,0 00011000 1
1776099479.704556,125,E0,11100000,00000111,0 00000111 1
1776099479.704584,126,98,10011000,00011001,0 00011001 1
1776099479.704612,127,E0,11100000,00000111,0 00000111 1
1776099479.704639,128,98,10011000,00011001,0 00011001 1
1776099479.704667,129,E0,11100000,00000111,0 00000111 1
1776099479.704694,130,18,00011000,00011000,0 00011000 1
1776099479.704721,131,E0,11100000,00000111,0 00000111 1
1776099479.704748,132,18,00011000,00011000,0 00011000 1
1776099479.704775,133,E0,11100000,00000111,0 00000111 1
1776099479.704802,134,18,00011000,00011000,0 00011000 1
1776099479.704829,135,E0,11100000,00000111,0 00000111 1
1776099479.704856,136,98,10011000,00011001,0 00011001 1
1776099479.712682,137,1E,00011110,01111000,0 01111000 1
1776099479.712923,138,18,00011000,00011000,0 00011000 1
1776099479.713066,139,06,00000110,01100000,0 01100000 1
1776099479.713161,140,FE,11111110,01111111,0 01111111 1
1776099489.729942,141,00,00000000,00000000,0 00000000 1
1776099489.732917,142,18,00011000,00011000,0 00011000 1
1776099489.733035,143,E0,11100000,00000111,0 00000111 1
1776099489.733154,144,18,00011000,00011000,0 00011000 1
1776099489.733235,145,E0,11100000,00000111,0 00000111 1
1776099489.733300,146,98,10011000,00011001,0 00011001 1
1776099489.733344,147,E0,11100000,00000111,0 00000111 1
1776099489.733385,148,98,10011000,00011001,0 00011001 1
1776099489.733428,149,E0,11100000,00000111,0 00000111 1
1776099489.733465,150,18,00011000,00011000,0 00011000 1
1776099489.733503,151,E0,11100000,00000111,0 00000111 1
1776099489.733539,152,18,00011000,00011000,0 00011000 1
1776099489.733592,153,E0,11100000,00000111,0 00000111 1
1776099489.733639,154,18,00011000,00011000,0 00011000 1
1776099489.733678,155,E0,11100000,00000111,0 00000111 1
1776099489.733715,156,98,10011000,00011001,0 00011001 1
1776099489.739860,157,1E,00011110,01111000,0 01111000 1
1776099489.739971,158,18,00011000,00011000,0 00011000 1
1776099489.740008,159,06,00000110,01100000,0 01100000 1
1776099489.740043,160,FE,11111110,01111111,0 01111111 1
1776099499.754047,161,00,00000000,00000000,0 00000000 1
1776099499.754159,162,18,00011000,00011000,0 00011000 1
1776099499.754196,163,E0,11100000,00000111,0 00000111 1
1776099499.754225,164,18,00011000,00011000,0 00011000 1
1776099499.754253,165,E0,11100000,00000111,0 00000111 1
1776099499.754281,166,98,10011000,00011001,0 00011001 1
1776099499.754309,167,E0,11100000,00000111,0 00000111 1
1776099499.754336,168,98,10011000,00011001,0 00011001 1
1776099499.754363,169,E0,11100000,00000111,0 00000111 1
1776099499.754390,170,18,00011000,00011000,0 00011000 1
1776099499.754418,171,E0,11100000,00000111,0 00000111 1
1776099499.754445,172,18,00011000,00011000,0 00011000 1
1776099499.754472,173,E0,11100000,00000111,0 00000111 1
1776099499.754499,174,18,00011000,00011000,0 00011000 1
1776099499.754526,175,E0,11100000,00000111,0 00000111 1
1776099499.754554,176,98,10011000,00011001,0 00011001 1
1776099499.762017,177,1E,00011110,01111000,0 01111000 1
1776099499.762274,178,18,00011000,00011000,0 00011000 1
1776099499.762423,179,06,00000110,01100000,0 01100000 1
1776099499.762513,180,FE,11111110,01111111,0 01111111 1
1776099509.779336,181,00,00000000,00000000,0 00000000 1
1776099509.779443,182,18,00011000,00011000,0 00011000 1
1776099509.779475,183,E0,11100000,00000111,0 00000111 1
1776099509.779505,184,18,00011000,00011000,0 00011000 1
1776099509.779532,185,E0,11100000,00000111,0 00000111 1
1776099509.779560,186,98,10011000,00011001,0 00011001 1
1776099509.779588,187,E0,11100000,00000111,0 00000111 1
1776099509.779615,188,98,10011000,00011001,0 00011001 1
1776099509.779642,189,E0,11100000,00000111,0 00000111 1
1776099509.779670,190,18,00011000,00011000,0 00011000 1
1776099509.779698,191,E0,11100000,00000111,0 00000111 1
1776099509.779725,192,18,00011000,00011000,0 00011000 1
1776099509.779752,193,E0,11100000,00000111,0 00000111 1
1776099509.779780,194,18,00011000,00011000,0 00011000 1
1776099509.779825,195,E0,11100000,00000111,0 00000111 1
1776099509.779860,196,98,10011000,00011001,0 00011001 1
1776099509.786996,197,1E,00011110,01111000,0 01111000 1
1776099509.787097,198,18,00011000,00011000,0 00011000 1
1776099509.787138,199,06,00000110,01100000,0 01100000 1
1776099509.787176,200,FE,11111110,01111111,0 01111111 1
1776099519.806587,201,00,00000000,00000000,0 00000000 1
1776099519.806698,202,18,00011000,00011000,0 00011000 1
1776099519.806731,203,E0,11100000,00000111,0 00000111 1
1776099519.806761,204,18,00011000,00011000,0 00011000 1
1776099519.806790,205,E0,11100000,00000111,0 00000111 1
1776099519.806818,206,98,10011000,00011001,0 00011001 1
1776099519.806847,207,E0,11100000,00000111,0 00000111 1
1776099519.806875,208,98,10011000,00011001,0 00011001 1
1776099519.806902,209,E0,11100000,00000111,0 00000111 1
1776099519.806930,210,18,00011000,00011000,0 00011000 1
1776099519.806958,211,E0,11100000,00000111,0 00000111 1
1776099519.806986,212,18,00011000,00011000,0 00011000 1
1776099519.807013,213,E0,11100000,00000111,0 00000111 1
1776099519.807041,214,18,00011000,00011000,0 00011000 1
1776099519.807069,215,E0,11100000,00000111,0 00000111 1
1776099519.807098,216,98,10011000,00011001,0 00011001 1
1776099519.814257,217,1E,00011110,01111000,0 01111000 1
1776099519.814407,218,18,00011000,00011000,0 00011000 1
1776099519.814471,219,06,00000110,01100000,0 01100000 1
1776099519.814517,220,FE,11111110,01111111,0 01111111 1
1776099529.832623,221,00,00000000,00000000,0 00000000 1
1776099529.832735,222,18,00011000,00011000,0 00011000 1
1776099529.832768,223,E0,11100000,00000111,0 00000111 1
1776099529.832798,224,18,00011000,00011000,0 00011000 1
1776099529.832827,225,E0,11100000,00000111,0 00000111 1
1776099529.832856,226,98,10011000,00011001,0 00011001 1
1776099529.832884,227,E0,11100000,00000111,0 00000111 1
1776099529.832911,228,98,10011000,00011001,0 00011001 1
1776099529.832939,229,E0,11100000,00000111,0 00000111 1
1776099529.832967,230,18,00011000,00011000,0 00011000 1
1776099529.832995,231,E0,11100000,00000111,0 00000111 1
1776099529.833022,232,18,00011000,00011000,0 00011000 1
1776099529.833050,233,E0,11100000,00000111,0 00000111 1
1776099529.833079,234,18,00011000,00011000,0 00011000 1
1776099529.833107,235,E0,11100000,00000111,0 00000111 1
1776099529.833136,236,98,10011000,00011001,0 00011001 1
1776099529.840354,237,1E,00011110,01111000,0 01111000 1
1776099529.840453,238,18,00011000,00011000,0 00011000 1
1776099529.840512,239,06,00000110,01100000,0 01100000 1
1776099529.840569,240,FE,11111110,01111111,0 01111111 1
1776099539.858790,241,00,00000000,00000000,0 00000000 1
1776099539.858899,242,18,00011000,00011000,0 00011000 1
1776099539.858936,243,E0,11100000,00000111,0 00000111 1
1776099539.858968,244,18,00011000,00011000,0 00011000 1
1776099539.858996,245,E0,11100000,00000111,0 00000111 1
1776099539.859025,246,98,10011000,00011001,0 00011001 1
1776099539.859053,247,E0,11100000,00000111,0 00000111 1
1776099539.859083,248,98,10011000,00011001,0 00011001 1
1776099539.859111,249,E0,11100000,00000111,0 00000111 1
1776099539.859140,250,18,00011000,00011000,0 00011000 1
1776099539.859168,251,E0,11100000,00000111,0 00000111 1
1776099539.859195,252,18,00011000,00011000,0 00011000 1
1776099539.859223,253,E0,11100000,00000111,0 00000111 1
1776099539.859251,254,18,00011000,00011000,0 00011000 1
1776099539.859279,255,E0,11100000,00000111,0 00000111 1
1776099539.859307,256,98,10011000,00011001,0 00011001 1
1776099539.866458,257,1E,00011110,01111000,0 01111000 1
1776099539.866549,258,18,00011000,00011000,0 00011000 1
1776099539.866588,259,06,00000110,01100000,0 01100000 1
1776099539.866626,260,FE,11111110,01111111,0 01111111 1
1776099549.885461,261,00,00000000,00000000,0 00000000 1
1776099549.885578,262,18,00011000,00011000,0 00011000 1
1776099549.885611,263,E0,11100000,00000111,0 00000111 1
1776099549.885642,264,18,00011000,00011000,0 00011000 1
1776099549.885673,265,E0,11100000,00000111,0 00000111 1
1776099549.885701,266,98,10011000,00011001,0 00011001 1
1776099549.885729,267,E0,11100000,00000111,0 00000111 1
1776099549.885757,268,98,10011000,00011001,0 00011001 1
1776099549.885785,269,E0,11100000,00000111,0 00000111 1
1776099549.885813,270,18,00011000,00011000,0 00011000 1
1776099549.885841,271,E0,11100000,00000111,0 00000111 1
1776099549.885869,272,18,00011000,00011000,0 00011000 1
1776099549.885896,273,E0,11100000,00000111,0 00000111 1
1776099549.885925,274,18,00011000,00011000,0 00011000 1
1776099549.885953,275,E0,11100000,00000111,0 00000111 1
1776099549.885982,276,98,10011000,00011001,0 00011001 1
1776099549.893506,277,1E,00011110,01111000,0 01111000 1
1776099549.893604,278,18,00011000,00011000,0 00011000 1
1776099549.893665,279,06,00000110,01100000,0 01100000 1
1776099549.893724,280,FE,11111110,01111111,0 01111111 1
1776099559.910908,281,00,00000000,00000000,0 00000000 1
1776099559.911025,282,18,00011000,00011000,0 00011000 1
1776099559.911063,283,E0,11100000,00000111,0 00000111 1
1776099559.911095,284,18,00011000,00011000,0 00011000 1
1776099559.911125,285,E0,11100000,00000111,0 00000111 1
1776099559.911154,286,98,10011000,00011001,0 00011001 1
1776099559.911182,287,E0,11100000,00000111,0 00000111 1
1776099559.911211,288,98,10011000,00011001,0 00011001 1
1776099559.911259,289,E0,11100000,00000111,0 00000111 1
1776099559.911288,290,18,00011000,00011000,0 00011000 1
1776099559.911314,291,E0,11100000,00000111,0 00000111 1
1776099559.911341,292,18,00011000,00011000,0 00011000 1
1776099559.911368,293,E0,11100000,00000111,0 00000111 1
1776099559.911395,294,18,00011000,00011000,0 00011000 1
1776099559.911422,295,E0,11100000,00000111,0 00000111 1
1776099559.911448,296,98,10011000,00011001,0 00011001 1
1776099559.918564,297,1E,00011110,01111000,0 01111000 1
1776099559.918675,298,18,00011000,00011000,0 00011000 1
1776099559.918713,299,06,00000110,01100000,0 01100000 1
1776099559.918748,300,FE,11111110,01111111,0 01111111 1
1776099569.936480,301,00,00000000,00000000,0 00000000 1
1776099569.936585,302,18,00011000,00011000,0 00011000 1
1776099569.936620,303,E0,11100000,00000111,0 00000111 1
1776099569.936652,304,18,00011000,00011000,0 00011000 1
1776099569.936682,305,E0,11100000,00000111,0 00000111 1
1776099569.936712,306,98,10011000,00011001,0 00011001 1
1776099569.936740,307,E0,11100000,00000111,0 00000111 1
1776099569.936768,308,98,10011000,00011001,0 00011001 1
1776099569.936796,309,E0,11100000,00000111,0 00000111 1
1776099569.936824,310,18,00011000,00011000,0 00011000 1
1776099569.936853,311,E0,11100000,00000111,0 00000111 1
1776099569.936881,312,18,00011000,00011000,0 00011000 1
1776099569.936908,313,E0,11100000,00000111,0 00000111 1
1776099569.936936,314,18,00011000,00011000,0 00011000 1
1776099569.936965,315,E0,11100000,00000111,0 00000111 1
1776099569.936992,316,98,10011000,00011001,0 00011001 1
1776099569.944576,317,1E,00011110,01111000,0 01111000 1
1776099569.944674,318,18,00011000,00011000,0 00011000 1
1776099569.944729,319,06,00000110,01100000,0 01100000 1
1776099569.944779,320,FE,11111110,01111111,0 01111111 1
1776099579.960534,321,00,00000000,00000000,0 00000000 1
1776099579.960639,322,18,00011000,00011000,0 00011000 1
1776099579.960674,323,E0,11100000,00000111,0 00000111 1
1776099579.960704,324,18,00011000,00011000,0 00011000 1
1776099579.960733,325,E0,11100000,00000111,0 00000111 1
1776099579.960762,326,98,10011000,00011001,0 00011001 1
1776099579.960789,327,E0,11100000,00000111,0 00000111 1
1776099579.960817,328,98,10011000,00011001,0 00011001 1
1776099579.960845,329,E0,11100000,00000111,0 00000111 1
1776099579.960872,330,18,00011000,00011000,0 00011000 1
1776099579.960900,331,E0,11100000,00000111,0 00000111 1
1776099579.960928,332,18,00011000,00011000,0 00011000 1
1776099579.960956,333,E0,11100000,00000111,0 00000111 1
1776099579.960983,334,18,00011000,00011000,0 00011000 1
1776099579.961011,335,E0,11100000,00000111,0 00000111 1
1776099579.961040,336,98,10011000,00011001,0 00011001 1
1776099579.968629,337,1E,00011110,01111000,0 01111000 1
1776099579.968732,338,18,00011000,00011000,0 00011000 1
1776099579.968796,339,06,00000110,01100000,0 01100000 1
1776099579.968853,340,FE,11111110,01111111,0 01111111 1
1776099589.984584,341,00,00000000,00000000,0 00000000 1
1776099589.984699,342,18,00011000,00011000,0 00011000 1
1776099589.984733,343,E0,11100000,00000111,0 00000111 1
1776099589.984764,344,18,00011000,00011000,0 00011000 1
1776099589.984794,345,E0,11100000,00000111,0 00000111 1
1776099589.984823,346,98,10011000,00011001,0 00011001 1
1776099589.984851,347,E0,11100000,00000111,0 00000111 1
1776099589.984879,348,98,10011000,00011001,0 00011001 1
1776099589.984906,349,E0,11100000,00000111,0 00000111 1
1776099589.984935,350,18,00011000,00011000,0 00011000 1
1776099589.984963,351,E0,11100000,00000111,0 00000111 1
1776099589.984992,352,18,00011000,00011000,0 00011000 1
1776099589.985019,353,E0,11100000,00000111,0 00000111 1
1776099589.985048,354,18,00011000,00011000,0 00011000 1
1776099589.985076,355,E0,11100000,00000111,0 00000111 1
1776099589.985105,356,98,10011000,00011001,0 00011001 1
1776099589.992687,357,1E,00011110,01111000,0 01111000 1
1776099589.992787,358,18,00011000,00011000,0 00011000 1
1776099589.992848,359,06,00000110,01100000,0 01100000 1
1776099589.992905,360,FE,11111110,01111111,0 01111111 1
1776099600.010728,361,00,00000000,00000000,0 00000000 1
1776099600.010834,362,18,00011000,00011000,0 00011000 1
1776099600.010869,363,E0,11100000,00000111,0 00000111 1
1776099600.010897,364,18,00011000,00011000,0 00011000 1
1776099600.010926,365,E0,11100000,00000111,0 00000111 1
1776099600.010953,366,98,10011000,00011001,0 00011001 1
1776099600.010980,367,E0,11100000,00000111,0 00000111 1
1776099600.011006,368,98,10011000,00011001,0 00011001 1
1776099600.011033,369,E0,11100000,00000111,0 00000111 1
1776099600.011060,370,18,00011000,00011000,0 00011000 1
1776099600.011087,371,E0,11100000,00000111,0 00000111 1
1776099600.011113,372,18,00011000,00011000,0 00011000 1
1776099600.011139,373,E0,11100000,00000111,0 00000111 1
1776099600.011165,374,18,00011000,00011000,0 00011000 1
1776099600.011192,375,E0,11100000,00000111,0 00000111 1
1776099600.011219,376,98,10011000,00011001,0 00011001 1
1776099600.018429,377,1E,00011110,01111000,0 01111000 1
1776099600.018543,378,18,00011000,00011000,0 00011000 1
1776099600.018584,379,06,00000110,01100000,0 01100000 1
1776099600.018621,380,FE,11111110,01111111,0 01111111 1
1776099610.037571,381,00,00000000,00000000,0 00000000 1
1776099610.037686,382,18,00011000,00011000,0 00011000 1
1776099610.037719,383,E0,11100000,00000111,0 00000111 1
1776099610.037748,384,18,00011000,00011000,0 00011000 1
1776099610.037777,385,E0,11100000,00000111,0 00000111 1
1776099610.037806,386,98,10011000,00011001,0 00011001 1
1776099610.037834,387,E0,11100000,00000111,0 00000111 1
1776099610.037862,388,98,10011000,00011001,0 00011001 1
1776099610.037890,389,E0,11100000,00000111,0 00000111 1
1776099610.037918,390,18,00011000,00011000,0 00011000 1
1776099610.037947,391,E0,11100000,00000111,0 00000111 1
1776099610.037975,392,18,00011000,00011000,0 00011000 1
1776099610.038002,393,E0,11100000,00000111,0 00000111 1
1776099610.038030,394,18,00011000,00011000,0 00011000 1
1776099610.038059,395,E0,11100000,00000111,0 00000111 1
1776099610.038087,396,98,10011000,00011001,0 00011001 1
1776099610.045683,397,1E,00011110,01111000,0 01111000 1
1776099610.045780,398,18,00011000,00011000,0 00011000 1
1776099610.045846,399,06,00000110,01100000,0 01100000 1
1776099610.045896,400,FE,11111110,01111111,0 01111111 1
1776099620.066944,401,00,00000000,00000000,0 00000000 1
1776099620.067058,402,18,00011000,00011000,0 00011000 1
1776099620.067098,403,E0,11100000,00000111,0 00000111 1
1776099620.067129,404,18,00011000,00011000,0 00011000 1
1776099620.067159,405,E0,11100000,00000111,0 00000111 1
1776099620.067188,406,98,10011000,00011001,0 00011001 1
1776099620.067217,407,E0,11100000,00000111,0 00000111 1
1776099620.067244,408,98,10011000,00011001,0 00011001 1
1776099620.067272,409,E0,11100000,00000111,0 00000111 1
1776099620.067300,410,18,00011000,00011000,0 00011000 1
1776099620.067328,411,E0,11100000,00000111,0 00000111 1
1776099620.067356,412,18,00011000,00011000,0 00011000 1
1776099620.067384,413,E0,11100000,00000111,0 00000111 1
1776099620.067412,414,18,00011000,00011000,0 00011000 1
1776099620.067441,415,E0,11100000,00000111,0 00000111 1
1776099620.067470,416,98,10011000,00011001,0 00011001 1
1776099620.074629,417,1E,00011110,01111000,0 01111000 1
1776099620.074728,418,18,00011000,00011000,0 00011000 1
1776099620.074765,419,06,00000110,01100000,0 01100000 1
1776099620.074802,420,FE,11111110,01111111,0 01111111 1
1776099630.093925,421,00,00000000,00000000,0 00000000 1
1776099630.094037,422,18,00011000,00011000,0 00011000 1
1776099630.094072,423,E0,11100000,00000111,0 00000111 1
1776099630.094102,424,18,00011000,00011000,0 00011000 1
1776099630.094132,425,E0,11100000,00000111,0 00000111 1
1776099630.094161,426,98,10011000,00011001,0 00011001 1
1776099630.094191,427,E0,11100000,00000111,0 00000111 1
1776099630.094219,428,98,10011000,00011001,0 00011001 1
1776099630.094247,429,E0,11100000,00000111,0 00000111 1
1776099630.094275,430,18,00011000,00011000,0 00011000 1
1776099630.094303,431,E0,11100000,00000111,0 00000111 1
1776099630.094331,432,18,00011000,00011000,0 00011000 1
1776099630.094364,433,E0,11100000,00000111,0 00000111 1
1776099630.094390,434,18,00011000,00011000,0 00011000 1
1776099630.094417,435,E0,11100000,00000111,0 00000111 1
1776099630.094443,436,98,10011000,00011001,0 00011001 1
1776099630.102021,437,1E,00011110,01111000,0 01111000 1
1776099630.102120,438,18,00011000,00011000,0 00011000 1
1776099630.102178,439,06,00000110,01100000,0 01100000 1
1776099630.102237,440,FE,11111110,01111111,0 01111111 1
1776099640.119467,441,00,00000000,00000000,0 00000000 1
1776099640.119602,442,18,00011000,00011000,0 00011000 1
1776099640.119653,443,E0,11100000,00000111,0 00000111 1
1776099640.119698,444,18,00011000,00011000,0 00011000 1
1776099640.119738,445,E0,11100000,00000111,0 00000111 1
1776099640.119776,446,98,10011000,00011001,0 00011001 1
1776099640.119832,447,E0,11100000,00000111,0 00000111 1
1776099640.119871,448,98,10011000,00011001,0 00011001 1
1776099640.119910,449,E0,11100000,00000111,0 00000111 1
1776099640.119947,450,18,00011000,00011000,0 00011000 1
1776099640.119987,451,E0,11100000,00000111,0 00000111 1
1776099640.120027,452,18,00011000,00011000,0 00011000 1
1776099640.120073,453,E0,11100000,00000111,0 00000111 1
1776099640.120121,454,18,00011000,00011000,0 00011000 1
1776099640.120162,455,E0,11100000,00000111,0 00000111 1
1776099640.120210,456,98,10011000,00011001,0 00011001 1
1776099640.127143,457,1E,00011110,01111000,0 01111000 1
1776099640.127287,458,18,00011000,00011000,0 00011000 1
1776099640.127345,459,06,00000110,01100000,0 01100000 1
1776099640.127398,460,FE,11111110,01111111,0 01111111 1
